Category: Finance

Week,Netflix: (United States),Hulu: (United States),prime video: (United States),apple tv: (United States)
2016-07-31,21,2,<1,1
2016-08-07,12,2,<1,1
2016-08-14,15,2,<1,1
2016-08-21,15,2,<1,<1
2016-08-28,18,2,<1,1
2016-09-04,15,2,<1,1
2016-09-11,18,3,<1,1
2016-09-18,15,3,<1,1
2016-09-25,16,3,<1,1
2016-10-02,18,4,<1,1
2016-10-09,16,3,1,1
2016-10-16,37,3,<1,1
2016-10-23,21,3,<1,1
2016-10-30,16,2,<1,1
2016-11-06,17,3,<1,1
2016-11-13,16,2,<1,1
2016-11-20,14,2,<1,1
2016-11-27,20,2,<1,1
2016-12-04,17,2,<1,1
2016-12-11,16,2,<1,2
2016-12-18,18,3,1,1
2016-12-25,16,2,<1,1
2017-01-01,20,3,<1,1
2017-01-08,19,3,1,1
2017-01-15,33,4,1,<1
2017-01-22,23,3,1,1
2017-01-29,22,3,1,1
2017-02-05,24,4,1,1
2017-02-12,21,4,<1,1
2017-02-19,16,3,<1,1
2017-02-26,20,3,1,1
2017-03-05,20,3,<1,1
2017-03-12,18,3,1,1
2017-03-19,18,3,<1,1
2017-03-26,18,3,1,1
2017-04-02,18,2,<1,1
2017-04-09,18,3,1,<1
2017-04-16,23,4,1,<1
2017-04-23,23,3,<1,1
2017-04-30,20,4,1,1
2017-05-07,20,3,<1,<1
2017-05-14,16,2,1,1
2017-05-21,18,2,<1,1
2017-05-28,17,3,<1,1
2017-06-04,18,4,<1,1
2017-06-11,20,3,1,1
2017-06-18,18,3,1,1
2017-06-25,14,3,<1,1
2017-07-02,16,3,<1,1
2017-07-09,16,3,1,1
2017-07-16,44,4,1,1
2017-07-23,23,3,1,<1
2017-07-30,26,3,1,<1
2017-08-06,28,3,<1,1
2017-08-13,20,3,<1,<1
2017-08-20,18,2,<1,1
2017-08-27,17,3,<1,1
2017-09-03,17,4,<1,1
2017-09-10,20,5,1,1
2017-09-17,20,4,<1,1
2017-09-24,19,4,1,1
2017-10-01,25,4,1,1
2017-10-08,22,4,<1,1
2017-10-15,30,4,<1,1
2017-10-22,23,3,<1,1
2017-10-29,21,2,<1,1
2017-11-05,22,3,<1,<1
2017-11-12,19,3,1,<1
2017-11-19,16,3,1,1
2017-11-26,23,4,1,1
2017-12-03,19,4,<1,1
2017-12-10,23,4,1,1
2017-12-17,19,4,1,1
2017-12-24,23,4,2,1
2017-12-31,29,4,1,1
2018-01-07,25,4,1,1
2018-01-14,24,5,1,1
2018-01-21,54,5,1,1
2018-01-28,38,5,1,1
2018-02-04,38,5,1,1
2018-02-11,29,4,2,1
2018-02-18,28,3,1,1
2018-02-25,34,4,1,1
2018-03-04,44,3,<1,1
2018-03-11,34,3,1,<1
2018-03-18,27,4,1,1
2018-03-25,34,3,<1,1
2018-04-01,31,3,1,<1
2018-04-08,31,3,1,1
2018-04-15,48,4,<1,1
2018-04-22,30,4,<1,1
2018-04-29,25,3,<1,1
2018-05-06,25,4,1,<1
2018-05-13,22,5,1,1
2018-05-20,39,4,<1,<1
2018-05-27,26,4,1,1
2018-06-03,30,4,1,1
2018-06-10,36,3,1,1
2018-06-17,41,4,1,<1
2018-06-24,43,3,1,1
2018-07-01,33,4,1,1
2018-07-08,44,4,1,1
2018-07-15,100,4,1,1
2018-07-22,43,4,1,1
2018-07-29,41,4,<1,1
2018-08-05,30,4,1,1
2018-08-12,33,4,1,1
2018-08-19,34,4,1,1
2018-08-26,32,5,1,<1
2018-09-02,28,5,1,1
2018-09-09,28,6,1,<1
2018-09-16,27,4,1,1
2018-09-23,25,6,1,<1
2018-09-30,29,4,1,<1
2018-10-07,33,4,1,<1
2018-10-14,54,4,1,<1
2018-10-21,34,3,1,<1
2018-10-28,34,5,1,<1
2018-11-04,26,3,1,1
2018-11-11,28,4,1,1
2018-11-18,24,3,1,1
2018-11-25,26,6,1,1
2018-12-02,27,4,1,1
2018-12-09,24,4,1,1
2018-12-16,27,3,1,1
2018-12-23,32,5,1,1
2018-12-30,35,3,2,1
2019-01-06,42,6,1,1
2019-01-13,61,5,1,1
2019-01-20,31,6,1,1
2019-01-27,30,5,1,<1
2019-02-03,34,5,2,<1
2019-02-10,30,5,1,1
2019-02-17,27,4,1,1
2019-02-24,27,6,1,1
2019-03-03,26,4,1,<1
2019-03-10,22,5,1,1
2019-03-17,26,5,1,1
2019-03-24,23,5,1,1
2019-03-31,26,5,1,1
2019-04-07,27,5,2,1
2019-04-14,34,6,2,<1
2019-04-21,25,4,1,1
2019-04-28,26,6,1,1
2019-05-05,22,5,2,1
2019-05-12,23,5,2,1
2019-05-19,20,5,1,1
2019-05-26,20,5,1,<1
2019-06-02,23,5,1,<1
2019-06-09,21,4,1,<1
2019-06-16,21,5,1,<1
2019-06-23,19,4,1,<1
2019-06-30,20,6,1,<1
2019-07-07,25,4,1,1
2019-07-14,56,5,2,<1
2019-07-21,37,5,2,1
2019-07-28,25,4,1,<1
2019-08-04,25,6,2,1
2019-08-11,22,5,2,1
2019-08-18,24,4,2,1
2019-08-25,20,4,2,1
2019-09-01,20,5,2,1
2019-09-08,23,5,2,1
2019-09-15,25,6,2,1
2019-09-22,26,6,2,1
2019-09-29,24,5,2,1
2019-10-06,23,4,2,1
2019-10-13,37,5,1,1
2019-10-20,24,5,2,1
2019-10-27,23,5,1,1
2019-11-03,20,4,2,2
