Category: News

Week,Netflix: (United States),Hulu: (United States),prime video: (United States),apple tv: (United States)
2017-03-26,38,9,1,2
2017-04-02,37,6,1,2
2017-04-09,31,7,1,2
2017-04-16,38,6,1,2
2017-04-23,40,8,1,1
2017-04-30,41,10,1,1
2017-05-07,36,7,1,3
2017-05-14,33,7,1,1
2017-05-21,36,7,3,1
2017-05-28,38,6,2,2
2017-06-04,32,7,1,1
2017-06-11,36,5,1,1
2017-06-18,38,7,1,1
2017-06-25,37,7,1,2
2017-07-02,37,8,1,1
2017-07-09,37,7,1,1
2017-07-16,52,7,1,1
2017-07-23,42,8,1,2
2017-07-30,44,8,1,1
2017-08-06,43,7,1,2
2017-08-13,38,7,1,2
2017-08-20,36,6,1,2
2017-08-27,34,8,1,2
2017-09-03,36,8,1,3
2017-09-10,35,10,1,5
2017-09-17,37,10,1,2
2017-09-24,35,9,1,2
2017-10-01,35,10,1,2
2017-10-08,32,7,1,2
2017-10-15,45,9,1,1
2017-10-22,38,8,1,2
2017-10-29,45,7,1,1
2017-11-05,37,6,1,2
2017-11-12,40,9,1,2
2017-11-19,57,10,1,2
2017-11-26,51,6,1,1
2017-12-03,48,7,2,2
2017-12-10,45,9,2,2
2017-12-17,45,7,1,2
2017-12-24,52,9,2,4
2017-12-31,59,12,2,3
2018-01-07,51,13,2,2
2018-01-14,54,10,2,2
2018-01-21,69,11,1,2
2018-01-28,59,10,1,2
2018-02-04,62,12,2,3
2018-02-11,47,9,2,1
2018-02-18,48,9,3,1
2018-02-25,51,8,2,2
2018-03-04,58,10,2,1
2018-03-11,55,9,2,1
2018-03-18,56,9,3,2
2018-03-25,56,12,2,2
2018-04-01,57,8,1,2
2018-04-08,58,9,2,2
2018-04-15,68,10,2,2
2018-04-22,54,10,2,1
2018-04-29,51,9,2,1
2018-05-06,51,8,1,2
2018-05-13,45,8,1,2
2018-05-20,58,8,2,2
2018-05-27,58,9,2,2
2018-06-03,48,11,2,3
2018-06-10,54,8,2,2
2018-06-17,61,8,1,2
2018-06-24,52,7,2,1
2018-07-01,52,9,2,2
2018-07-08,54,8,1,2
2018-07-15,84,6,2,1
2018-07-22,62,9,2,2
2018-07-29,63,9,2,2
2018-08-05,52,9,1,1
2018-08-12,47,8,1,2
2018-08-19,52,10,2,1
2018-08-26,55,10,2,2
2018-09-02,54,11,2,2
2018-09-09,52,14,2,2
2018-09-16,47,14,2,1
2018-09-23,48,13,1,2
2018-09-30,47,13,2,2
2018-10-07,65,12,2,1
2018-10-14,95,9,3,1
2018-10-21,85,10,2,2
2018-10-28,67,10,2,1
2018-11-04,63,14,3,3
2018-11-11,52,9,2,1
2018-11-18,53,10,2,4
2018-11-25,55,14,3,1
2018-12-02,55,11,2,2
2018-12-09,61,9,2,2
2018-12-16,64,10,3,2
2018-12-23,80,9,3,1
2018-12-30,78,15,3,2
2019-01-06,78,16,2,2
2019-01-13,100,12,2,2
2019-01-20,74,13,3,1
2019-01-27,81,13,3,2
2019-02-03,60,10,2,2
2019-02-10,64,13,3,2
2019-02-17,55,11,3,1
2019-02-24,52,13,2,2
2019-03-03,53,12,2,1
2019-03-10,56,12,2,1
2019-03-17,59,11,2,1
2019-03-24,54,12,2,3
2019-03-31,51,13,2,2
2019-04-07,50,12,2,1
2019-04-14,53,14,2,1
2019-04-21,49,11,2,1
2019-04-28,54,13,2,1
2019-05-05,53,12,2,1
2019-05-12,49,14,2,1
2019-05-19,49,12,3,1
2019-05-26,60,13,3,2
2019-06-02,56,13,3,2
2019-06-09,57,14,2,1
2019-06-16,56,14,3,1
2019-06-23,53,19,3,4
2019-06-30,50,13,2,1
2019-07-07,51,11,1,1
2019-07-14,68,13,3,1
2019-07-21,51,11,2,1
2019-07-28,55,16,2,2
2019-08-04,47,14,3,1
2019-08-11,46,13,3,2
2019-08-18,51,12,3,2
2019-08-25,46,15,3,2
2019-09-01,47,17,4,2
2019-09-08,50,18,3,4
2019-09-15,47,12,3,2
2019-09-22,52,14,3,2
2019-09-29,50,16,3,2
2019-10-06,44,14,3,2
2019-10-13,59,14,3,3
2019-10-20,51,12,3,3
2019-10-27,48,14,3,6
2019-11-03,47,13,3,7
